Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Opitz A., Kriechbaum-Zabini A.","57126905500;56468052300;","Evaluation of face recognition technologies for identity verification in an eGate based on operational data of an airport",2015,"AVSS 2015 - 12th IEEE International Conference on Advanced Video and Signal Based Surveillance",,,"7301747","","",,5,"10.1109/AVSS.2015.7301747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958635029&doi=10.1109%2fAVSS.2015.7301747&partnerID=40&md5=5b06b17766fb172a6d1dde818882e127","AIT Austrian Institute of Technology, Donau-City-Straße 1, Vienna, 1220, Austria","Opitz, A., AIT Austrian Institute of Technology, Donau-City-Straße 1, Vienna, 1220, Austria; Kriechbaum-Zabini, A., AIT Austrian Institute of Technology, Donau-City-Straße 1, Vienna, 1220, Austria","Face recognition technologies play an important part in the field of automated border control (ABC). The demand for the reliable verification of a passenger's identity is based on efficiency and security aspects of ABC systems which have to be taken into account. Face recognition technologies allow for an automation of the traditional manual inspection by a border guard. This paper presents an evaluation of the face verification performance of commercial face recognition technologies based on operational data from an existing eGate at an airport. In addition to comparisons of the overall performance, more detailed considerations such as the influence of the remaining validity of the passport are made. Moreover, the performance implications of the nationality of the passports, which may be the result of the different quality of the passport photos or increased cooperativeness of the passengers based on previous experiences with eGates, are considered as well. © 2015 IEEE.","Airports; Cameras; Error analysis; Europe; Face; Face recognition; Probes","Airport security; Airports; Cameras; Error analysis; Probes; Security systems; Transportation; Europe; Face; Face recognition technologies; Face Verification; Identity verification; Manual inspection; Operational data; Security aspects; Face recognition",Conference Paper,"Final","",Scopus,2-s2.0-84958635029
"Panourgias N.S.","8588087800;","Capital markets integration: A sociotechnical study of the development of a cross-border securities settlement system",2015,"Technological Forecasting and Social Change","99",,,"317","338",,13,"10.1016/j.techfore.2015.02.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947032697&doi=10.1016%2fj.techfore.2015.02.014&partnerID=40&md5=c2a586767f67111b955eceaf64294790","School of Management, University of Leicester, Leicester, LE1 7RH, United Kingdom","Panourgias, N.S., School of Management, University of Leicester, Leicester, LE1 7RH, United Kingdom","Digital information and communications technologies (ICTs) are transforming capital markets. The integration of capital markets is seen as one such area of transformation. The research presented in this article studies one integration initiative that took shape around the proposed combination of a number of key European securities marketplaces through the development of a cross-border settlement system. Taking a sociotechnical approach, the research presents the positions of the key actants identified in relation to key controversies regarding the development of the settlement system and shows how the relations between the controversies and the positions of the actants involved in them evolve. By examining the role of ICTs in the evolution of these relations, the study seeks to illuminate the complex causalities between the social and technical aspects of cross-border capital market integration. The article argues that in addition to enabling the interconnecting of an expanded set of transacting parties, ICTs bring important cognitive dimensions that enable the inspiration, planning, and foresight necessary for both developers and market participants to formulate their plans, strategies, and positions vis-à-vis the expanded and transformed marketplace arrangements. © 2015 Elsevier Inc.","CSDs; Globalisation; Integration; Marketplace; Markets; Securities; Settlement; Technology","Financial markets; Integration; Marketing; Mobile security; Technology; CSDs; Globalisation; Marketplace; Securities; Settlement; Commerce; capital market; economic integration; globalization; information and communication technology",Article,"Final","",Scopus,2-s2.0-84947032697
"Casas-Cortes M., Cobarrubias S., Pickles J.","35097193300;35097279200;7005805498;","Riding Routes and Itinerant Borders: Autonomy of Migration and Border Externalization",2015,"Antipode","47","4",,"894","914",,104,"10.1111/anti.12148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938766641&doi=10.1111%2fanti.12148&partnerID=40&md5=dceceb59f675343b762184420a5816cd","Department of Geography, University of North Carolina-Chapel Hill, Chapel Hill, NC, United States; Department of Global, International and Area Studies, University of North Carolina-Charlotte, Charlotte, NC, United States","Casas-Cortes, M., Department of Geography, University of North Carolina-Chapel Hill, Chapel Hill, NC, United States; Cobarrubias, S., Department of Global, International and Area Studies, University of North Carolina-Charlotte, Charlotte, NC, United States; Pickles, J., Department of Geography, University of North Carolina-Chapel Hill, Chapel Hill, NC, United States","Despite technological upgrading of borders at the edges of Europe, ""Fortress Europe"" continues to fail as an effective means of controlling irregular migration. As a consequence, European states are restructuring their border regimes by externalizing migration management to non-EU countries beyond the border and creating new programs and policies to do so. Autonomy of Migration (AoM) offers a distinct way for thinking about border control mechanisms and goals of managing mobility. AoM does not read this off-shoring of borders through the lens of centralized and coordinated state powers, but develops an autonomous gaze that supplements these institutional readings of apparatuses of capture with a view that takes as its starting point the ways in which border architectures, institutions, and policies interact with and react to the turbulence of migrant mobilities. By engaging current EU externalization policies, this paper illustrates the shifting relationship between border control and mobility. Resumen: A pesar de las actualizaciones tecnológicas recientes de la frontera en el perímetro de la Unión Europea, la llamada ""Europa Fortaleza"", tanto como metáfora como realidad, continua sin poder controlar la migración irregular. En respuesta, los estados miembros de la Unión están restructurando sus sistemas fronterizos externalizando la gestión migratoria a países no miembros de la UE, delegando funciones de control migratorio a países fuera de la frontera europea. El enfoque de la Autonomia de la Migracion (AoM) ofrece un anáisis poco común para pensar los mecanismos de control fronterizo y sus objetivos de gestionar la movilidad humana. AoM no interpreta dicho desplazamiento de fronteras únicamente desde la óptica del poder estatal centralizado. AoM ofrece una mirada autonoma de la movilidad, complementando esas lecturas institucionales que enfatizan los aparatos de captura. Así, AoM enfatiza la turbulencia de las migraciones como parte constituyente, y no solo receptiva, de las arquitecturas, instituciones y políticas fronterizas. Este artículo sobre la externalización de las politicas fronterizas de la Union Europea ilustra la relación productiva entre control migratorio fronterizo y movilidad migratoria. © 2015 Antipode Foundation Ltd.","Autonomy; Borders; EU; Externalization; Migration; North Africa","autonomy; border region; European Union; international migration; North Africa; Sus",Article,"Final","",Scopus,2-s2.0-84938766641
"Bourne M., Johnson H., Lisle D.","37100944500;48361531200;8838970800;","Laboratizing the border: The production, translation and anticipation of security technologies",2015,"Security Dialogue","46","4",,"307","325",,53,"10.1177/0967010615578399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938880976&doi=10.1177%2f0967010615578399&partnerID=40&md5=e67327e9ee1f2d334e949abf7de2de90","Queen’s University Belfast, United Kingdom","Bourne, M., Queen’s University Belfast, United Kingdom; Johnson, H., Queen’s University Belfast, United Kingdom; Lisle, D., Queen’s University Belfast, United Kingdom","This article critically interrogates how borders are produced by scientists, engineers and security experts in advance of the deployment of technical devices they develop. We trace how sovereign decisions are enacted as assemblages in the antecedent register of device development through the everyday decisions of scientists and engineers in the laboratory, the security experts they engage, and the material components of the device itself. Drawing on in-depth interviews, observations, and ethnographic research of the EU-funded Handhold project, we explore how assumptions about the way security technologies will and should perform at the border shape the development of a portable, integrated device to detect chemical, biological, radiological, nuclear and explosives (CBRNE) threats at borders. In disaggregating the moments of sovereign decision-making across multiple sites and times, we question the supposed linearity of how science comes out of and feeds back into the world of border security. An interrogation of competing assumptions and understandings of security threats and needs, of competing logics of innovation and pragmatism, of the demands of differentiated temporalities in detection and identification, and of the presumed capacities, behaviours, and needs of phantasmic competitors and end-users reveals a complex, circulating and co-constitutive process of device development that laboratises the border itself. © 2015, © The Author(s) 2015.","Borders; laboratories; technology; translation",,Article,"Final","",Scopus,2-s2.0-84938880976
"Vacchiano F.","16067746800;","The drowned and the saved. Reflections on mobility and border in times of crisis [Los hundidos y los salvados. Reflexiones sobre movilidad y frontera en tiempo de crisis]",2015,"Revista de Dialectologia y Tradiciones Populares","70","2",,"315","323",,3,"10.3989/rdtp.2015.02.001.06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954435526&doi=10.3989%2frdtp.2015.02.001.06&partnerID=40&md5=639c0b19e34a88e916dbf37418ad618b","Instituto de Ciências Sociais, Universidade de Lisboa, Portugal Centro Franz Fanon, Turín, Italy","Vacchiano, F., Instituto de Ciências Sociais, Universidade de Lisboa, Portugal Centro Franz Fanon, Turín, Italy","The «European Agenda on Migration», whose objective is the unification of the different measures that the European Union will adopt to develop a coherent and integrated approach to migrations and border policy, is paradigmatic of how the European Commission imagines de Mediterranean as a space of migratory flows. This agenda has three main characteristics: usefulness, planning and stratification, and points to a new European mobility governance. This paper explores the implications and consequences of this agenda, including the critical analysis of the so-called «Hotspot approach» and other measures such as the «refugee relocation system». Confirming the trends in the last few years, the main tools in the European border management and control strategy are cooperation, policing, new control and identification technologies for the newcomers, and the «border extended bureaucracies». As a consequence, the most advanced border posts are pushed towards the South and militarized. This paper discusses the underlying racist utilitarianism contained in these European policies. Thus, Mediterranean's governmentality crystallizes in a series of mechanisms generating new forms of violence, symbolic and direct. In this context, the paper explores the parallel logics of the «will to mobility» of young migrants from the Global South who, in spite of the security web established in European policies wish and try to be part of a transnational cosmopolitan imaginary.","Border; Emergency; European Union; Immigration; Mobility",,Article,"Final","",Scopus,2-s2.0-84954435526
"Andersson R.","55510450000;","The pressure cooker: How border security keeps increasing the chaos [La olla a presión: Cómo la seguridad fronteriza sigue aumentando el caos]",2015,"Revista de Dialectologia y Tradiciones Populares","70","2",,"299","306",,2,"10.3989/rdtp.2015.02.001.04","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954425652&doi=10.3989%2frdtp.2015.02.001.04&partnerID=40&md5=ac47d2c68491add01b26a20049a52d7f","London School of Economics, UK Departamento de Antropología, Universidad de Estocolmo, Sweden","Andersson, R., London School of Economics, UK Departamento de Antropología, Universidad de Estocolmo, Sweden","This paper explores the problems and contradictions of the so-called «balloon effect» in migratory processes, and the need to elaborate a global and interconnected understanding of population flows across borders as the necessary basis to design just and effective migratory policies.The revision of the successive «crisis» in the Mediterranean borders, starting with the first small boats (pateras) which used to cross the Strait of Gibraltar all the way to today's «Refugee Crisis», makes sufficiently clear that the pressure on certain potential migratory entry routes does not discourage the will to cross, but rather forces immigrants and refugees in other directions. Ethnographic data show how, for example, the today prestigious Spanish border control model in Gibraltar did not stop the problem but rather provoked the shiftof migratory flows to more dangerous routes in the Sahara and the North of Africa. Spain's problem eventually became Italy's problem and, in turn, as routes moved East, Greece's problem: a vicious cycle manifesting the failure of European policies. The author follows the life histories of migrants he worked in the route from Senegal to Morocco who, in their respective African transits, have had to face walls, borders, new surveillance technologies and cross-border mafias. Migrants' experiences signal a progressive process: the globalization and commodification of irregular routes, emerging in parallel to migratory inhibition mechanisms.","Borders; Commodification of irregularity; Migration; Refuge; «Balloon Effect»",,Article,"Final","",Scopus,2-s2.0-84954425652
"Rajas J.","56755239400;","Disciplining the human rights of immigrants: market veridiction and the echoes of eugenics in contemporary EU immigration policies",2015,"Third World Quarterly","36","6",,"1129","1144",,2,"10.1080/01436597.2015.1047198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938542467&doi=10.1080%2f01436597.2015.1047198&partnerID=40&md5=a5f1a4099e2b98770a8139140b0040a6","Department of Politics, History and International Relations (PHIR), Loughborough University, United Kingdom","Rajas, J., Department of Politics, History and International Relations (PHIR), Loughborough University, United Kingdom","This paper investigates the technologies of controlling migration and how the human rights of third-country nationals are disciplined and limited in many European Union member states. It discusses the rationalities of allowing entry as they are inscribed in the Schengen visa regulations and in the regulations relating to resident permits and family reunification rights in various European countries. Specifically the paper sheds light on how market veridiction results in the disciplining of human rights in these policies. The analysis is conducted through a Foucauldian governmentality framework entailing an analysis of the problematisations of immigration through market veridiction and how these are applied today to limit immigrants’ human rights. The paper then compares these rationalities to eugenic justifications for problematising immigration in the USA from 1860s onwards. This historical comparison shows how social Darwinist notions of human worth continue to function at the level of rationalities and technologies of disciplining immigrants’ human rights. The paper concludes that market veridiction makes human rights function inside a framework of (e)quality in which human worth is calculated as ‘quality’ and not as ‘equality’, and shows how migrants’ human rights are made to function as something to be earned rather than something inherent or inalienable. © 2015 Southseries Inc., www.thirdworldquarterly.com.","class; governmentality; human rights; immigration; market veridiction; social Darwinism","European Union; governance approach; human rights; immigrant population; immigration; immigration policy; policy analysis; Europe; United States",Article,"Final","",Scopus,2-s2.0-84938542467
"Hendow M., Cibea A., Kraler A.","56530853900;56530824200;18134009600;","Using technology to draw borders: Fundamental rights for the Smart Borders initiative",2015,"Journal of Information, Communication and Ethics in Society","13","1",,"39","57",,1,"10.1108/JICES-02-2014-0008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923683861&doi=10.1108%2fJICES-02-2014-0008&partnerID=40&md5=06e3b7b1585a4c090529cc611d197e29","Research Department, International Centre for Migration Policy Development, Vienna, Austria","Hendow, M., Research Department, International Centre for Migration Policy Development, Vienna, Austria; Cibea, A., Research Department, International Centre for Migration Policy Development, Vienna, Austria; Kraler, A., Research Department, International Centre for Migration Policy Development, Vienna, Austria","Purpose – This paper aims to examine the primary fundamental rights concerns related to biometrics and their use in automated border controls (ABCs), as well as how these issues converge in the European Commission’s Smart Borders proposal. Design/methodology/approach – This paper draws on extensive background research and qualitative in-depth interviews conducted in 2013 for the European Union (EU) FP-7 project “FastPass – A harmonized, modular reference system for all European automatic border crossing points”. Findings – The Smart Borders proposal not only compounds the individual concerns related to the use of biometrics in border controls and automatisation thereof, but also has serious issues of its own, premier among which is the imposition of a two-tier border control system. Social implications – The paper is a catalyst for open debate on the fundamental questions of how we got to this point and where do we want to go. It questions the process by which the increased use of IT in border controls has become the norm and policy trend in Europe, and discusses where the limits could be drawn from a fundamental rights perspective. In particular, it warns against the institutionalisation of a two-tier border control system among third-country nationals. Originality/value – Little attention is given to the fundamental rights concerns raised for EU and non-EU citizens as related to biometrics and their use in ABCs, and how these issues are reproduced in the Smart Borders proposal. The paper fills this gap by taking a bottom-up approach: examining the implications of individual elements of the proposal to see their impact on the broader policy. © Emerald Group Publishing Limited.","Automated border control; Biometrics; EES; Fundamental rights; RTP; Smart Borders",,Article,"Final","",Scopus,2-s2.0-84923683861
"Vaughan-Williams N.","8215552800;","""We are not animals!"" Humanitarian border security and zoopolitical spaces in EUrope1",2015,"Political Geography","45",,,"1","10",,77,"10.1016/j.polgeo.2014.09.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914171489&doi=10.1016%2fj.polgeo.2014.09.009&partnerID=40&md5=21be5c4ae8d6c625971a7150552ac932","Department of Politics and International Studies, University of Warwick, Coventry, CV4 7AL, United Kingdom","Vaughan-Williams, N., Department of Politics and International Studies, University of Warwick, Coventry, CV4 7AL, United Kingdom","This article juxtaposes two prominent discourses accompanying the neoliberalisation of EUrope's borders. The first is the emerging notion of humanitarian 'migrant-centredness' found in the policies of elites and security professionals in the field of EUropean border security and migration management. The second is the use of animalised metaphors and imagery that pervade narratives of 'irregular' migrants' embodied experiences of detention across and beyond EUrope. It argues that what is at stake in this juxtaposition is more than simply a discrepancy between the 'rhetoric' of neoliberal bordering and the 'reality' of 'irregular' migrants' experiences. Such a view, which is commonly held among diverse critics of border violence, ultimately makes a problematic appeal back to the very humanitarian frame that has already been coopted by authorities associated with or even complicit in that violence. Seeking an alternative diagnosis and ground for critique beyond the 'rhetoric/reality' bind, the analysis draws on conceptual resources found in (post)biopolitical theory - particularly Jacques Derrida's concept of 'zoopolitics' - in order to identify and explore animalisation as a specific spatial technology of power. Understanding the work that the zoopolitical threshold does in shaping contemporary spaces of incarceration and producing animalised subjects offers new insights into both governmental logics of border security and the limits of humanitarian-based critiques. © 2014 Elsevier Ltd.","Biopolitics; Borders; Humanitarianism; Migration; Security; Sovereignty",,Article,"Final","",Scopus,2-s2.0-84914171489
"Dijstelbloem H., Broeders D.","56159424200;17433346100;","Border surveillance, mobility management and the shaping of non-publics in Europe",2015,"European Journal of Social Theory","18","1",,"21","38",,50,"10.1177/1368431014534353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923326662&doi=10.1177%2f1368431014534353&partnerID=40&md5=04ef1bd49ec2f5300f7330bc57f16e7f","University of Amsterdam, Netherlands; Erasmus University Rotterdam, Netherlands","Dijstelbloem, H., University of Amsterdam, Netherlands; Broeders, D., Erasmus University Rotterdam, Netherlands","Social sorting of migrants and travellers based on data stored in information systems is at the centre of border controls and mobility management in Europe. Recent literature finds that the inclusion-exclusion distinction is insufficiently equipped to do justice to the variety of classifications that is being applied. Instead, a proliferation of refined categorizations determines the outcome of visa and permit applications. This article explores the ‘administrative ecology’ in between the two extremes of inclusion and exclusion. It claims information technologies encourage the emergence of an intermediary category of ‘non-publics’ situated between the level of groups and the level of individuals. The ontological and normative status of these ‘non-publics’ will be analysed by using some key notions of Actor-Network Theory. © The Author(s) 2014.","actor-network theory; border control; migration; mobility; ontology; technology",,Article,"Final","",Scopus,2-s2.0-84923326662
"Pedersen M.J.","56939928900;","The intimate relationship between security, effectiveness, and legitimacy: a new look at the Schengen compensatory measures",2015,"European Security","24","4",,"541","559",,3,"10.1080/09662839.2015.1014808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050001116&doi=10.1080%2f09662839.2015.1014808&partnerID=40&md5=ea5dcdbde7a4c39a8b66d0ac20601b1c","Department of Political Science, University of Copenhagen, Copenhagen, Denmark","Pedersen, M.J., Department of Political Science, University of Copenhagen, Copenhagen, Denmark","The so-called Schengen compensatory measures such as the Schengen Information System (SIS) or the European Dactylographic System (Eurodac) have been the centre of much attention. However, the research on these security measures has focused almost solely on their effect on liberty, human rights, and the like. Not much attention has been given to the actual effectiveness of the security remedies taken in the European Union (EU) to compensate for the abolition of border controls, despite effectiveness being an obvious source of legitimacy in the realm of security. This article takes a first step in the direction of correcting this neglect and develops the foundations for an analytical framework focusing on effectiveness and legitimacy. The framework is illustrated through a minor analysis of the legal and institutional set-up of SIS and Eurodac as examples pointing to sources of ineffectiveness in the very set-up of the databases. © 2015 Taylor & Francis.","effectiveness; Eurodac; European Union; legitimacy; output; security; SIS",,Article,"Final","",Scopus,2-s2.0-85050001116
"Wilson A.","7404870460;","Global Dynamics: Approaches from Complexity Science",2015,"Global Dynamics: Approaches from Complexity Science",,,,"1","330",,6,"10.1002/9781118937464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017446920&doi=10.1002%2f9781118937464&partnerID=40&md5=748ce5fcc84f2e15d5a081471ff19c42","Urban and Regional Systems, Centre for Advanced Spatial Analysis, University College London, United Kingdom; Home Office Science Advisory Council, United Kingdom","Wilson, A., Urban and Regional Systems, Centre for Advanced Spatial Analysis, University College London, United Kingdom, Home Office Science Advisory Council, United Kingdom","A world model: economies, trade, migration, security and development aid. This bookprovides the analytical capability to understand and explore the dynamics of globalisation. It is anchored in economic input-output models of over 200 countries and their relationships through trade, migration, security and development aid. The tools of complexity science are brought to bear and mathematical and computer models are developed both for the elements and for an integrated whole. Models are developed at a variety of scales ranging from the global and international trade through a European model of inter-sub-regional migration to piracy in the Gulf and the London riots of 2011. The models embrace the changing technology of international shipping, the impacts of migration on economic development along with changing patterns of military expenditure and development aid. A unique contribution is the level of spatial disaggregation which presents each of 200+ countries and their mutual interdependencies - along with some finer scale analyses of cities and regions. This is the first global model which offers this depth of detail with fully work-out models, these provide tools for policy making at national, European and global scales. © 2016 John Wiley and Sons Ltd. All rights reserved.",,,Book,"Final","",Scopus,2-s2.0-85017446920
"Milivojevic S.","55824295700;","Re-bordering the peripheral global north and global South: Game of drones, immobilising mobile bodies and decentring perspectives on drones in border policing",2015,"Drones and Unmanned Aerial Systems: Legal and Social Implications for Security and Surveillance",,,,"83","100",,4,"10.1007/978-3-319-23760-2_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017056111&doi=10.1007%2f978-3-319-23760-2_5&partnerID=40&md5=dd08d79658cdc4f92ad11e27b1c75552","School of Social Sciences, University of New South Wales, Sydney, Australia","Milivojevic, S., School of Social Sciences, University of New South Wales, Sydney, Australia","Border security, asylum seekers and undocumented migrants are undoubtedly one of the key issues in a colourful Australian political landscape in the past decade (see McCulloch and Pickering, Borders and Crime: Pre-crime, Mobility and Serious Harm in an Age of Globalization, Macmillan, New York, 2012; Weber and Pickering, Globalization and Borders: Death at the Global Frontier, Macmillan, London, 2011). Elections are won or lost based on political parties’ perceived (in)ability to secure Australian borders, especially from asylum seekers coming to Australia by boat (Manne, The Comment: Asylum seekers, 2010). Elsewhere across the Western world, border policing and regulating mobile bodies are also a priority, creating modern ‘factories of exclusion’ (Engbersen 2001) based on hi-tech mechanisms of social segregation, especially surveillance (see Broeders 2007; Koslowski 2004). With a budget over ε 320 million set for drone development (Waterfield, EU ‘spent ε 320 million on surveillance drone development’, 2014), we are witnessing ‘an emerging EU drone policy’ (Hayes et al., EURODRONES Inc, 2014;) that gradually spills across the border, to the neighbouring countries of Global South. This chapter looks at the process of re-bordering of both Global North and Global South through case studies of Australia and Serbia. It highlights the development of security and surveillance border control technologies in both countries, especially in the context of the usage of drones in border policing. The chapter’s purpose is not to offer a comparative analysis of two case studies; rather, it seeks to illuminate the issue of drone use in border policing from opposing sides of the borderland. The chapter presents preliminary findings from a research project that looks at mobility and border control in Western Balkans in the context of the European Union (EU) integration, conducted in the period August-December 2013. It also draws on the analysis of media reporting on drones in Serbia and Australia in the past 2 years, in order to explore predominant narratives around the usage of surveillance technologies in border control. This chapter argues that, although the rhetoric in the use of drones in two contexts is largely different, the military rhetoric underpins both military and non-military use of drones. Finally, the chapter begins to examine the impact of surveillance-based, drone-led border policing on mobile bodies caught in the ‘drone stare’ (Wall and Monahan). © 2016 Springer International Publishing Switzerland.","Australia; Border security; Frontex; Maritime surveillance; Migration control; Serbia; The fortress europe",,Book Chapter,"Final","",Scopus,2-s2.0-85017056111
"Marin L., Krajčíková K.","24824856900;57193841250;","Deploying drones in policing southern european borders: Constraints and challenges for data protection and human rights",2015,"Drones and Unmanned Aerial Systems: Legal and Social Implications for Security and Surveillance",,,,"101","127",,7,"10.1007/978-3-319-23760-2_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017047610&doi=10.1007%2f978-3-319-23760-2_6&partnerID=40&md5=06e3b95299027e016389d840386de7e1","Department of Law, School of Law, Economics and Governance, Utrecht University, Netherlands; Institute for Governance Studies, University of Twente, Netherlands; Heinrich-Heine-Universität Düsseldorf, Düsseldorf, Germany","Marin, L., Department of Law, School of Law, Economics and Governance, Utrecht University, Netherlands, Institute for Governance Studies, University of Twente, Netherlands; Krajčíková, K., Heinrich-Heine-Universität Düsseldorf, Düsseldorf, Germany","This chapter explores the challenges underlying the policy choice of deploying drone technology in the area of border surveillance, with specific reference to the surveillance of European Union (EU) member states’ external southern borders. Border surveillance is one of the top priorities of the member states of the EU for several reasons: the most prominent is the fight against irregular migration and cross-border crime. Within this context, public agencies (at both the national and the European level) are investing important resources in deploying the most up-to-date technologies, in an attempt to stop undesired migrants. The deployment of drones for border policing purposes is already a reality in the USA, and also in some EU member states. Frontex has also devoted attention and resources to exploring the possibility of deploying drones in border surveillance, as they are seen as beneficial assets in the perspective of European Border Surveillance System (EUROSUR). The aim of this chapter is to explore the recent developments constituted by the deployment of drone technology in border surveillance. The chapter first introduces the actors, policies and practices in the sphere of border management, specifically in the area of border surveillance (1); then it discusses the use of drone technology for border surveillance, looking not only at its potentialities but also at its current shortcomings (2); it will then move toward the regulatory framework enabling the safe deployment of drones under aviation law and on border surveillance (3) and presents the constraints represented by fundamental rights and data protection rules on drone technology and the challenges drones represent for the human rights of migrants (4), before concluding that drone technology might entail a further securitisation of border surveillance, together with a shift toward preventive border surveillance (5). © 2016 Springer International Publishing Switzerland.","Border surveillance; Data protection; Drones; EUROSUR; Frontex; Operation mare nostrum; Privacy; RPAS; Schengen borders code; UAVs",,Book Chapter,"Final","",Scopus,2-s2.0-85017047610
"Papadimitriou F.","6603238089;","‘Synoriology’ — a science for the environment, peace, infrastructures and cross-border management",2015,"Environmental Security of the European Cross-Border Energy Supply Infrastructure",,,,"187","191",,,"10.1007/978-94-017-9538-8_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943223759&doi=10.1007%2f978-94-017-9538-8_11&partnerID=40&md5=79204928bbb8e588a6a0e9269bf400d2","13a Aedonon Street, Athens, 11475, Greece","Papadimitriou, F., 13a Aedonon Street, Athens, 11475, Greece","In this paper, the term “Synoriology”Συνοριολογíα) is proposed for first time. It is a composite term, derived from the Greek words syn (συν)#orio (óριοborder, frontier, limit, boundary)logia (λογíα, from, λóγος scientific discourse). This term may comprise the theoretical and practical research into all kinds of boundaries (physical, mathematical, social, cultural etc.). Establishing an integrated environmental monitoring system for any cross-border infrastructure is clearly a difficult problem. This paper aims to explore the risks and difficulties involved in such projects from the point of view of Synoriology, indicating that the establishment of major technological components involves certain mathematical approaches. One key question is controlling and securing environmental stability during and after the construction of a technical project, both spatially and functionally. Other issues may also be examined, such as landuse planning around a site’s area, emergency response measures etc. This work takes into account results of various European Union-funded programs on cross-border infrastructure, as well as the author’s own research on these issues. It gradually becomes clear that statistical approaches should constitute only the basic steps towards integrated monitoring and management systems. New avenues now open in the field of environment and energy. There is a need for education and training about infrastructures, materials, monitoring systems etc. These new avenues certainly require sound and peaceful planning procedures, along with a spirit of mutual understanding and good will. © Springer Science+Business Media Dordrecht 2015.",,"Energy management; Energy resources; Education and training; Emergency response measures; Environment and energies; Environmental monitoring system; Environmental stability; Integrated monitoring; Mathematical approach; Technological components; Monitoring",Book Chapter,"Final","",Scopus,2-s2.0-84943223759
[No author name available],[No author id available],"9th International Federation for Information Processing, Working Groups IFIP WG 9.2, 9.5, 9.6/11.7, 11.4, 11.6/SIG 9.2.2 International Summer School, 2014",2015,"IFIP Advances in Information and Communication Technology","457",,,"1","266",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942694186&partnerID=40&md5=dff64f7aac4b3da544e6c80022bf401c",,"","The proceedings contain 18 papers. The special focus in this conference is on Privacy by Design and Privacy Patterns and Privacy Technologies and Protocols. The topics include: ABC4trust: protecting privacy in identity management by bringing privacy-ABCs into real-life; towards an engineering model of privacy-related decisions; the value of personal data; privacy and security perceptions of European citizens; privacy and confidentiality in service science and big data analytics; EUROSUR - a sci-fi border zone patrolled by drones?; a brief evaluation of icons in the first reading of the European parliament on com (2012) 0011; privacy by design - the case of automated border control; a survey on multimodal biometrics and the protection of their templates; optimization and practical experiences; tools for cloud accountability; privacy for peer profiling in collective adaptive systems; ABC4trust workshop on core features of privacy-ABCs, practical use and legal issues.",,,Conference Review,"Final","",Scopus,2-s2.0-84942694186
