Authors;Author(s) ID;Title;Year;Source title;Cited by;DOI;Link;Abstract;Author Keywords;Index Keywords;Publisher;Language of Original Document;Abbreviated Source Title;Document Type
La Fors-Owczynik K.;"56815118100;";Monitoring migrants or making migrants 'misfit'? Data protection and human rights perspectives on Dutch identity management practices regarding migrants;2016;Computer Law and Security Review;6;10.1016/j.clsr.2016.01.010;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966508401&doi=10.1016%2fj.clsr.2016.01.010&partnerID=40&md5=3352d043b607868a22e3e901e84b5aa9;Record numbers of migrants and refugees fleeing violence and poverty in parts of Africa and the Middle East present the European Union with unprecedented challenges, including in determining their identity as well as status. In recent years problems of identifying immigrants have been addressed in order to fight identity fraud and illegal entry of migrants. As a result, a wide variety of digital systems have been introduced to orchestrate an effective, preventative modus of identification of migrants. Digital systems are in particular geared towards spotting those migrants who (are about to) commit identity fraud or who enter the territory of EU member states illegally. Although the key aim of the digital systems is framed to protect the administrative, geographic and legal borders of the member state and the safety of its population, empirically based studies demonstrate that these systems bring new risks for migrants themselves. This article intends to contribute to the discussion on the use of digital systems for managing the movement of migrants by analysing identification and risk assessment systems from the perspective of the new European data protection regime and the European Convention on Human Rights. For this purpose, two identification systems - the so-called INS console within the Dutch immigration and border sector, and the PROGIS console within the law enforcement sector - are analysed. A third is the Advanced Passenger Information system operated at Schiphol Airport by border control and immigration services. Against the background of the position of many migrants finding themselves at risk in their home country and of the two legislative frameworks mentioned above, this article addresses two issues. First, the analysis focuses on how migrants are perceived by digital monitoring practices: are they themselves at risk, non-risk or do they pose a risk? In the EU, migrants must prove that their case is worthy of asylum status because they are 'at risk' from political unrest or other life-threatening circumstances in their home country. Yet, empirical data gathered through semi-structured interviews show that simply abiding by the standards during an enrolment process of the INS console, rather than being 'at risk', a migrant can easily be categorised as 'posing a risk' (La Fors-Owczynik & Van der Ploeg, 2015). Second, this article aims to investigate what the capacity of the new data protection regime is in protecting migrants from being framed as 'a risk' or a 'misfit' stemming from the use of digital systems. Given this second aim, the following discussion also intends to explore the extent to which the European Convention on Human Rights can provide an additional legal remedy for migrants being digitally categorised in a manner that is detrimental to them. © 2016 Karolina La Fors-Owczynik.;"Biometrics; Border control; Data protection; Human rights; Identification; Immigration; Law enforcement; Migrants; Profiling; Risk";"Air navigation; Biometrics; Crime; Data privacy; Identification (control systems); Law enforcement; Laws and legislation; Risks; Social aspects; Border control; Human rights; Immigration; Migrants; Profiling; Risk assessment";Elsevier Ltd;English;Comput Law Secur. Rev.;Article
Tsianos V.S., Kuster B.;"36199134000;57189867564;";Eurodac in Times of Bigness: The Power of Big Data within the Emerging European IT Agency;2016;Journal of Borderlands Studies;11;10.1080/08865655.2016.1174606;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975454486&doi=10.1080%2f08865655.2016.1174606&partnerID=40&md5=399e93dab358dad70096e92202da82b3;Private and government sectors are operating hand in hand for biometric identity assurance solutions to meet security requirements at borders, for elections or for the private sector. Our paper will explore Eurodac, a large biometric information database concerning asylum applications and irregular border crossings, as part of the emerging European Big Data Economy. Drawing on the concept of the digital border and of the surveillance assemblage (Haggerty, Kevin D., and Richard V. Ericson. 2000. The Surveillant Assemblage. British Journal of Sociology 51, no. 4: 605–22) we understand Eurodac not only as a technological border but as inflected by social, symbolic, organizational and juridical cultures, practices, and imaginaries that are beyond the literal realm of the electronic space. Our paper investigates the dynamics of big data in the context of the integration of Eurodac within the larger framework of the European Agency for the operational management of large-scale IT systems in the area freedom, security and justice (EU-LISA). EU-LISA is the operational platform of three large-scale European databases with regards to foreigners and their mobility within and towards Europe, namely Eurodac, the Schengen Information System (SIS II) and the Visa Information System (VIS). This paper tries to outline some of the problems brought about when processing big amounts of data for the purpose of European immigration and identification policies. © 2016 Association for Borderlands Studies.;;;Routledge;English;J. Borderl. Stud.;Article
König M.;"57210705811;";The borders, they are a-changin'! the emergence of socio-digital borders in the eu;2016;Internet Policy Review;2;10.14763/2016.1.403;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071255775&doi=10.14763%2f2016.1.403&partnerID=40&md5=1fe8a0b010cb1afe4b317c1d0ce0d3ff;Relying on big data, modern surveillance becomes increasingly influential in determining societal power relations. Lyon argues that modern surveillance always categorises people entailing social effects, what he conceptualises as social sorting. This paper assesses if patterns of social sorting can be found in the EU surveillance systems for migration Schengen Information System (SIS), Visa Information System (VIS) and EUROpean DACtylographic comparison system (EURODAC), which are planned to be merged in order to ensure maximum efficiency in surveillance. To do so, the paper analyses relevant documents referring to SIS, VIS and EURODAC. These systems have assumed the traditional border function of deciding on societal inclusion and exclusion. I argue that, to some extent, socio-digital borders are drawn along the categories established through social sorting. The paper exemplifies how social sorting relying on big data may be a disempowering surveillance practice. © 2016, Alexander von Humboldt Institute for Internet and Society. All rights reserved.;"Big data; Borders; Social sorting";;Alexander von Humboldt Institute for Internet and Society;English;Internet Policy Rev.;Article
Soltes D.;"37662386500;";Schengen e-Border Wall supported by the latest smart High-Tech ICT, but;2016;WMSCI 2016 - 20th World Multi-Conference on Systemics, Cybernetics and Informatics, Proceedings;1;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016769760&partnerID=40&md5=19b53b63d1532ad750ae5acc5665eaf9;The paper is dealing with one of the currently most controversial issues in the EU regarding the protection of the external borders of the EU in the form of the so-called Schengen external border of the Union. On the one hand it is very difficult for the EU new member states to become a part of the Schengen border protection system as it requires a lot of effort and investments into the latest ICT technology and all various other technical but also organizational and personnel requirements but on the other hand right now we have been witnessing a real disastrous situation on the southern flank of the Schengen border where illegal immigrants especially from Africa are daily illegally entering the territory of the EU. However, by a certain paradox in many cases these illegal immigrants are entering the EU territory through the humanitarian aid to be extended to them by the EU costal border guards that on the basis of the principles of the International humanitarian law have to extend their help to these illegal immigrants in case of some necessary rescue operations from their drowning boats on the Mediterranean sea and bring them to the territory of the EU. The paper in more details will be dealing with this evident paradox between the latest ICT technology and humanitarian aspects of International humanitarian law.;"CCTV; Sis - SCHENGEN information system; Smart ICT; The schengen area; The schengen external border of the eu";"Closed circuit television systems; Cybernetics; Border guards; Border protection; Illegal immigrants; Mediterranean sea; New Member States; Rescue operations; Smart ICT; The schengen area; Crime";International Institute of Informatics and Systemics, IIIS;English;WMSCI - World Multi-Conf. Syst., Cybern. Informatics, Proc.;Conference Paper
Bianco S.L.;"57194073463;";Deliberating justice policy in the European Union: A discursive perspective on day-to-day decision-making in European Union’s criminal justice cooperation;2016;European Politics and Society;1;10.1080/23745118.2016.1120992;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968645199&doi=10.1080%2f23745118.2016.1120992&partnerID=40&md5=d46052aeff9963779a4af4f62592a368;This paper argues that the adoption of new policy instruments of the European Union (EU) also emanate from everyday decision-making. Changes in EU policies are not only the consequences of ‘grand moments’ of treaty and institutional changes. In order to identify and explain changes in everyday decision-making, one should complement the traditional strategic bargaining perspective on decision-making with a constructivist view on discourse or language as sources of change. With the insights of both constructivists and communication theorists, this study focuses on the identification of conditions and occurrences of deliberation in the daily running of decision-making in the EU that allow for changes facilitating the adoption of new policy instruments. In this light a study of two cases will be presented of which each has taken place in a different institutional setting. The main analysis of this study is on the drafting process of the Framework Decision on the European Evidence Warrant of 2008. The findings of this analysis will be compared to findings of another analysis. It concerns the negotiations on the Council Decision of 2008 regarding access for consultation of the Visa Information System by law enforcement authorities. Analysis of both cases learned that in certain circumstances instances of deliberation and ensuing progress towards a more reasoned understanding actually occurred. © 2016 Taylor & Francis.;"Constructivism; EU criminal justice; EU justice and home affairs; European Evidence Warrant; Visa Information System";;Routledge;English;Eur. Pol. Soc.;Article
Orrù E.;"54397457300;";Surveillance and power in the EU [Sorveglianza e potere nella Unione europea];2015;Filosofia Politica;;10.1416/81386;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949203833&doi=10.1416%2f81386&partnerID=40&md5=6cc2569d5fc291229408f16ade6689ce;Surveillance, understood as the collection of information about populations for supervision purposes, is a critical technique of social control. As such, it can reveal important features of the power that exercises it. The article analyses two contemporary surveillance measures in Europe: the Schengen Information System and the Directive 2006/24/EC on data retention. The analysis aims to identify the structural characteristics of the changing power of the EU and the role security plays in it. The main thesis is that security is a key element of the legitimacy claim of the expanding power of the EU. © 2015 Società editrice Il Mulino.;"European Union; Legitimacy; Power; Surveillance";;Societa Editrice il Mulino;Italian;Filos. Polit.;Article
Panourgias N.S.;"8588087800;";Capital markets integration: A sociotechnical study of the development of a cross-border securities settlement system;2015;Technological Forecasting and Social Change;13;10.1016/j.techfore.2015.02.014;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947032697&doi=10.1016%2fj.techfore.2015.02.014&partnerID=40&md5=c2a586767f67111b955eceaf64294790;Digital information and communications technologies (ICTs) are transforming capital markets. The integration of capital markets is seen as one such area of transformation. The research presented in this article studies one integration initiative that took shape around the proposed combination of a number of key European securities marketplaces through the development of a cross-border settlement system. Taking a sociotechnical approach, the research presents the positions of the key actants identified in relation to key controversies regarding the development of the settlement system and shows how the relations between the controversies and the positions of the actants involved in them evolve. By examining the role of ICTs in the evolution of these relations, the study seeks to illuminate the complex causalities between the social and technical aspects of cross-border capital market integration. The article argues that in addition to enabling the interconnecting of an expanded set of transacting parties, ICTs bring important cognitive dimensions that enable the inspiration, planning, and foresight necessary for both developers and market participants to formulate their plans, strategies, and positions vis-à-vis the expanded and transformed marketplace arrangements. © 2015 Elsevier Inc.;"CSDs; Globalisation; Integration; Marketplace; Markets; Securities; Settlement; Technology";"Financial markets; Integration; Marketing; Mobile security; Technology; CSDs; Globalisation; Marketplace; Securities; Settlement; Commerce; capital market; economic integration; globalization; information and communication technology";Elsevier Inc.;English;Technol. Forecast. Soc. Change;Article
Dijstelbloem H., Broeders D.;"56159424200;17433346100;";Border surveillance, mobility management and the shaping of non-publics in Europe;2015;European Journal of Social Theory;50;10.1177/1368431014534353;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923326662&doi=10.1177%2f1368431014534353&partnerID=40&md5=04ef1bd49ec2f5300f7330bc57f16e7f;Social sorting of migrants and travellers based on data stored in information systems is at the centre of border controls and mobility management in Europe. Recent literature finds that the inclusion-exclusion distinction is insufficiently equipped to do justice to the variety of classifications that is being applied. Instead, a proliferation of refined categorizations determines the outcome of visa and permit applications. This article explores the ‘administrative ecology’ in between the two extremes of inclusion and exclusion. It claims information technologies encourage the emergence of an intermediary category of ‘non-publics’ situated between the level of groups and the level of individuals. The ontological and normative status of these ‘non-publics’ will be analysed by using some key notions of Actor-Network Theory. © The Author(s) 2014.;"actor-network theory; border control; migration; mobility; ontology; technology";;SAGE Publications Ltd;English;Eur. J. Soc. Theory;Article
Pedersen M.J.;"56939928900;";The intimate relationship between security, effectiveness, and legitimacy: a new look at the Schengen compensatory measures;2015;European Security;3;10.1080/09662839.2015.1014808;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050001116&doi=10.1080%2f09662839.2015.1014808&partnerID=40&md5=ea5dcdbde7a4c39a8b66d0ac20601b1c;The so-called Schengen compensatory measures such as the Schengen Information System (SIS) or the European Dactylographic System (Eurodac) have been the centre of much attention. However, the research on these security measures has focused almost solely on their effect on liberty, human rights, and the like. Not much attention has been given to the actual effectiveness of the security remedies taken in the European Union (EU) to compensate for the abolition of border controls, despite effectiveness being an obvious source of legitimacy in the realm of security. This article takes a first step in the direction of correcting this neglect and develops the foundations for an analytical framework focusing on effectiveness and legitimacy. The framework is illustrated through a minor analysis of the legal and institutional set-up of SIS and Eurodac as examples pointing to sources of ineffectiveness in the very set-up of the databases. © 2015 Taylor & Francis.;"effectiveness; Eurodac; European Union; legitimacy; output; security; SIS";;Taylor and Francis Ltd.;English;Eur. Secur.;Article
Pirinen R.;"36617552900;";Studies of integration readiness levels: Case shared maritime situational awareness system;2014;Proceedings - 2014 IEEE Joint Intelligence and Security Informatics Conference, JISIC 2014;5;10.1109/JISIC.2014.79;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920261461&doi=10.1109%2fJISIC.2014.79&partnerID=40&md5=6c7f930350c331c5505a5a8ce1ea0317;The research question of this study is: How Integration Readiness Level (IRL) metrics can be understood and realized in the domain of border control information systems. The study address to the IRL metrics and their definition, criteria, references, and questionnaires for validation of border control information systems in case of the shared maritime situational awareness system. The target of study is in improvements of ways for acceptance, operational validation, risk assessment, and development of sharing mechanisms and integration of information systems and border control information interactions and collaboration concepts in Finnish national and European border control domains. © 2014 IEEE.;"integration; integration readiness levels; maturity; pre-operational validation; situational awareness";"Bioinformatics; Information systems; Information use; Risk assessment; Surveys; Border control; Integration readiness; maturity; Operational validation; Research questions; Sharing mechanism; Situational awareness; Situational awareness systems; Integration";Institute of Electrical and Electronics Engineers Inc.;English;Proc. - IEEE Jt. Intell. Secur. Informatics Conf., JISIC;Conference Paper
Li G., Yang B., Busch C.;"55871431000;7404472502;7101767185;";A score-level fusion fingerprint indexing approach based on minutiae vicinity and minutia cylinder-code;2014;2nd International Workshop on Biometrics and Forensics, IWBF 2014;15;10.1109/IWBF.2014.6914238;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934324022&doi=10.1109%2fIWBF.2014.6914238&partnerID=40&md5=11024d5867d69874a8a0309f1ec954ec;Due to the uniqueness and permanence properties of the biometric fingerprint characteristic, large scale in border control and governmental applications such as the Visa Information System (VIS) in Europe, US-VISIT / IDENT system in the USA and the Aadhaar project in India are based on fingerprint recognition. These systems generally contain millions of fingerprint samples. In order to improve the efficiency in seeking for suitable candidate reference data in such large-scale databases, studying indexing techniques for fingerprints is desirable. In this paper, we design a new indexing method using the features extracted from minutia details including location, direction and ridge information. Then a score-level fusion indexing approach is proposed by combing this new method with the minutia cylinder-code (MCC) indexing method. The results demonstrate the improvement of the proposed approach based on experiments on several public fingerprint databases. © 2014 IEEE.;"biometric database; fingerprint indexing; minutia cylinder-code; minutiae vicinity";"Biometrics; Codes (symbols); Cylinders (shapes); Database systems; Biometric database; Fingerprint indexing; Fingerprint Recognition; Governmental applications; Large-scale database; Minutia cylinder codes; minutiae vicinity; Visa information systems; Indexing (of information)";Institute of Electrical and Electronics Engineers Inc.;English;Int. Workshop Biom. Forensics, IWBF;Conference Paper
[No author name available];[No author id available];Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2014, Game and Entertainment Technologies 2014 and Computer Graphics, Visualization, Computer Vision and Image Processing 2014 - Part of the Multi Conference on Computer Science and Information Systems, MCCSIS 2014;2014;Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2014, Game and Entertainment Technologies 2014 and Computer Graphics, Visualization, Computer Vision and Image Processing 2014 - Part of the Multi Conference on Computer Science and Information Systems, MCCSIS 2014;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929438819&partnerID=40&md5=385ca5127d71cf9a47866fb98c2ed1e1;"The proceedings contain 63 papers. The topics discussed include: the second screen becoming the first? an exploratory study of emerging multi-screening practices; insights from user studies for the graphical user interface design of a surgical operation robot; automated border control: a comparative usability study at two European airports; interactions of participants during mobile development of a healthcare application; scaffolding sustainability in the academic HCID practice; preconditions and design requirements for touch-screen control panels for intellectually disabled persons working with CNC machines; a review of the practical capacities and user perception of the sixth-sense devices; new teaching methods applied in computer science teaching; and embracing diversity through inclusive learning.";;;IADIS;English;Proc. Int. Conf. Interfaces Hum. Comput. Interact., Game Entertain. Technol. Comput. Graph., Vis., Comput. Vis. Image Process. - Part Multi Conf. Comput. Sci. Inf. Syst., MCCSIS;Conference Review
Hisakawa N., Jankowski P., Paulus G.;"55756258900;7006061530;55832188900;";Mapping the porosity of international border to pedestrian traffic: A comparative data classification approach to a study of the border region in Austria, Italy, and Slovenia;2013;Cartography and Geographic Information Science;4;10.1080/15230406.2013.762141;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878526735&doi=10.1080%2f15230406.2013.762141&partnerID=40&md5=9b2166fe26bb13061292165e3764613d;National borders play an important role in everyday life. Interest in border studies has increased with recent changes in geographical locations of the border or the fluctuation of the permeability of the border between some countries, such as in the European Union. Whether the nations are trying to increase traffic flow of the border or to implement stricter border control, having appropriate information of the border is crucial for effective policymaking. The objective of this research was to identify areas of high porosity, or high permeability, for pedestrians along the southern national border region in Carinthia, Austria using terrain, land use, and road data along with geocomputational methods. Two unsupervised classification methods, the fuzzy K-means clustering and the Self-Organizing Map, were applied to segment the border into homogeneous zones according to topographic and infrastructural attributes. The fuzzy Kmeans clustering method was chosen for its ability to allow for a continuous approach to classification. With this method, an object can belong, with different degrees of membership, to multiple classes, which is a more realistic reflection of the natural world than discrete clustering, where each object can only belong to one class. However, the fuzzy K-means clustering method does have disadvantages, i.e. the user must determine the number of classes and the input parameters are required to be in continuous format. The second classification method, the Self-Organizing Map, is a type of artificial neural network and was chosen for its ability to automatically determine the number of classes and handle categorical data. The Self-Organizing Map is unique because it can transform high dimensional data into low dimensional display while preserving the topology and spatial distribution of the input parameters. The results of the two classification methods suggest that the fuzzy K-means classification is more effective than the Self-Organizing Map for this situation. However, more research is needed to determine the fit of these algorithms for particular spatial data classification tasks. The results obtained from this research provide an insight into the permeability of the border region of Carinthia, Slovenia, and Italy to pedestrian traffic and can be potentially useful for decision making processes for tourism development and road transportation management in that region. Furthermore, the approach presented in this article can be applied to other national borders to identify zones permeable to pedestrian traffic. © 2013 Cartography and Geographic Information Society.;"Border studies; GIS; Spatial clustering; Spatial decision support; Visual analytics";"Border studies; Classification methods; Decision making process; Geographical locations; Spatial clustering; Spatial Decision Support; Unsupervised classification; Visual analytics; Cluster analysis; Clustering algorithms; Conformal mapping; Decision making; Decision support systems; Geographic information systems; Neural networks; Research; Research and development management; Data mining; algorithm; artificial neural network; border region; classification; comparative study; decision making; fuzzy mathematics; GIS; land use; pedestrian; policy making; road transport; terrain; territorial management; tourism development; transportation planning; Austria; Carinthia; Italy; Slovenia";;English;Cartogr. Geogr. Inf. Sci;Article
Scheel S.;"55762175200;";Autonomy of Migration Despite Its Securitisation? Facing the Terms and Conditions of Biometric Rebordering;2013;Millennium: Journal of International Studies;60;10.1177/0305829813484186;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878871306&doi=10.1177%2f0305829813484186&partnerID=40&md5=4298d03a540dc968e4be56ff25871bbf;This article reconsiders the concept of autonomy of migration in the context of technologically ever-more sophisticated border regimes by focusing on the case of biometric rebordering. As its name suggests, the concept of autonomy of migration's core thesis proposes that migratory movements yield moments of autonomy in regards to any attempt to control and regulate them. Yet, the concept of autonomy of migration has been repeatedly accused of being based on and contributing to a romanticisation of migration. After outlining two advantages the concept of autonomy of migration offers for the analysis of biometric border regimes, I demonstrate that processes of biometric rebordering increase the warranty of the two allegations, which feed this major critique. Drawing on examples relating to the Visa Information System, I show that processes of biometric rebordering alter the practical terms and material conditions for moments of autonomy of migration to such an extent that it becomes necessary to rethink not only some of the concept of autonomy of migration's central features, but the notion of autonomy itself. In the final section, I therefore point out some directions to develop the concept of autonomy of migration as an approach, which is better equipped to investigate today's struggles of migration without being prone to the critique of implicating a romanticisation of migration. © The Author(s) 2013.;"Autonomy of migration; biometric rebordering; securitisation; security dispositif; situated knowledge";;;English;Millennium J. Int. Stud.;Article
Dóczi Z.;"55753415900;";The development, the integration and the assessment of the existing large-scale IT systems in the area of freedom, security and justice;2013;Acta Juridica Hungarica;;10.1556/AJur.54.2013.2.4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878434229&doi=10.1556%2fAJur.54.2013.2.4&partnerID=40&md5=f1d5f222bf328bf188029114e1b130db;The abolishment of the internal border checks and the common procedures at the external borders fosters the decision-making of the European Union to establish large-scale IT systems in the area of freedom, security and justice. The decrease of the security deficit by the control of immigration flow consists of three endeavours: the common border control policy, the common visa policy and the common asylum policy. The aim of this paper is to analyse and evaluate the development of the operational management of large-scale IT systems in the area of freedom, security and justice. The development process of these systems is not more than their integration into the so-called IT Agency. This new regulatory agency was established in January 2012. It has merged the operational management tasks of the further developed version of SIS (the SIS II), VIS and EURODAC and it is flexible to add other existing and potential new systems. Hence, the added-value of the IT Agency is to be assessed, since new technologies shall be harnessed to meet the requirements of enhancing security and facilitating travel at the external borders.;"facilitate travel; information power; large-scale IT systems; Schengen; security deficit";;;English;Acta Juridica Hung.;Article
Vukov T., Sheller M.;"57209672114;6603548368;";Border work: Surveillant assemblages, virtual fences, and tactical counter-media;2013;Social Semiotics;46;10.1080/10350330.2013.777592;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878145168&doi=10.1080%2f10350330.2013.777592&partnerID=40&md5=2dfbcb15748daa9b4db8e12dcf03078b;"The new technologies of bio-informatic border security and remote surveillance that have emerged as key infrastructures of reconfigured mobility regimes depend on various kinds of labor to produce the effect of bordering. The current retrofitting and technological remediation of borders suggests their transformation away from static demarcators of hard territorial boundaries toward much more sophisticated, flexible, and mobile devices of tracking, filtration, and exclusion. Borders require the labor of software developers, designers, engineers, infrastructure builders, border guards, systems experts, and many others who produce the ""smart border""; but they also depend on the labor of ""data-ready"" travelers who produce themselves at the border, as well as the underground labor of those who traffic in informal and illegalized economies across such borders. Bordering increasingly relies on technological forms of mediation that are embedded within hi-tech, military and private corporate logics, but are also resisted by electronic and physical ""hacks"" or bypassing of informational and infrastructural architectures. In this paper we consider three socio-technological assemblages of the border, and the labor which makes and unmakes them: (1) the interlocking ""cyber-mobilities"" of contemporary airports including visual technologies for baggage, cargo, and passenger inspection, as well as information technologies for passenger dataveillance, air traffic control, and human resource systems; (2) the development of the Schengen Information System database of the EU, and its implications for wider migrant rights and internal mobility within the EU, as well as radical border media that have attempted to intervene in that border space; and (3) elements of the US-Mexico ""smart border"" regime known as the Secure Border Initiative Network (2006-2011), and those who have tried to tactically evade, disrupt, or undermine the working of this border. © 2013 Copyright Taylor and Francis Group, LLC.";"bio-informatics; mobility; security; smart border; tactical media";;;English;Soc. Semiot;Article
Soltysik-Piorunkiewicz A., Banasikowska J.;"56568333900;57194165796;";Interoperability and standardization of e-Government ubiquitous systems in the EU member states;2013;Proceedings of the European Conference on e-Government, ECEG;3;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940855586&partnerID=40&md5=4cf5d7b3c8c2c60b1b8401378d43d033;"The ability of public administration to perform public tasks by electronic means is an important factor in the assessment of the quality of its operation and a condition of achieving progress in building the information society. This can be achieved only by a close collaboration between information systems of public administration bodies in mutual relations and in relations with natural persons and businesses. The prerequisite is achieving the interoperability between the systems. Interoperable, basic infrastructural services (secure communication between administration bodies, cross-border access to files), common specifications, guidelines for interoperability and reusable software are the basic factors in an effective electronic administration. Works are underway to adopt an updated version of European interoperability framework, support and popularize interoperable services of electronic administration, based on standards, open specifications and interfaces. The paper presents the conception of interoperability and standardization of ubiquitous systems e-Government in the European Union member states. It defines the term ""interoperability"". It discusses three levels of assessing interoperability: technology, systems and tasks. The interoperability standards are considered in three aspects: technical, organizational and semantic. Examples of the European Union countries with the most developed interoperability frameworks are provided. There is an overview of e-services in e-Government ubiquitous systems in Poland as well as examples of using interoperability to deliver e-services online. In order to examine the functionality of e- Government ubiquitous information systems, we reviewed the systems offered by the public administration sector in Poland for delivering e-services in e-Administration. The examination covered: ePUAP as a selected example of a ubiquitous system in public administration in Poland, OST 112 - emergency call system, SI PR - integration of services for assistance delivery, Prezydencja - Polish Presidency information system, SIS and VIS - Schengen information and visa system, ePosterunek - Police management system. © The Authors, 2013.";"E-Government ubiquitous systems; E-services; Interoperability; Standardization";"Computer software reusability; Electronic document exchange; Government data processing; Information management; Information systems; Management information systems; Online systems; Public administration; Semantics; Specifications; Standardization; E- services; Emergency call systems; European Union countries; Integration of services; Interoperability framework; Interoperable services; Ubiquitous information systems; Ubiquitous systems; Interoperability";Academic Conferences Limited;English;Proc. European Conf. on e-Gov., ECEG;Conference Paper
Kneidinger P., Schwaiger M.;"55488844100;36169398500;";Evaluation and monitoring of fingerprint acquisitions for the European Visa Information System experiences from Austria;2012;Proceedings of the International Conference of the Biometrics Special Interest Group, BIOSIG 2012;1;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869389461&partnerID=40&md5=13937b416ae21437fd6ebc19d3038929;The Biometric Evaluation Authority (BEA) concept allows to evaluate and monitor fingerprint acquisitions with regard to the European Visa Information System (VIS). In Austria, a BEA implementation was installed in order to evaluate the quality of the acquired fingerprints, the duration of the fingerprint acquisition process, the number of captures conducted and the results of fingerprint record uniqueness checks. This paper introduces the concept of the BEA and presents results of the Austrian visa application process achieved in the first months of the VIS in operation. © 2012 Gesellschaft fr Informatik.;;"Application process; Austria; Biometric Evaluation; Fingerprint acquisition; Fingerprint records; Visa information systems; Biometrics; Information systems; Mergers and acquisitions; Quality control";;English;Proc. Int. Conf. Biom. Spec. Interest Group, BIOSIG;Conference Paper
[No author name available];[No author id available];Proceedings of the International Conference of the Biometrics Special Interest Group, BIOSIG 2012;2012;Proceedings of the International Conference of the Biometrics Special Interest Group, BIOSIG 2012;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869387557&partnerID=40&md5=d74a89a4ed841ea3e4b95784fc6e2590;"The proceedings contain 36 papers. The topics discussed include: evaluation and monitoring of fingerprint acquisitions for the European visa information system - experiences from Austria; a topology based approach to categorization of fingerprint images; multi-modal and multi-instance fusion for biometric cryptosystems; evaluation of automatic face recognition for automatic border control on actual data recorded of travellers at Schiphol airport; analysis of the acquisition process for keystroke dynamics; probabilistic matching pair selection for SURF-based person re-identification; model interpolation for eye localization using the discriminative generalized Hough transform; a novel crypto-biometric scheme for establishing secure communication sessions between two clients; unsupervised learning of face detection models from unlabeled image streams; and improving channel robustness in text-independent speaker verification using adaptive virtual cohort models.";;;;English;Proc. Int. Conf. Biom. Spec. Interest Group, BIOSIG;Conference Review
Boehm F.;"36008031200;";Information sharing and data protection in the area of freedom, security and justice: Towards harmonised data protection principles for information exchange at EU-level;2012;Information Sharing and Data Protection in the Area of Freedom, Security and Justice: Towards Harmonised Data Protection Principles for Information Exchange at EU-Level;27;10.1007/978-3-642-22392-1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949175458&doi=10.1007%2f978-3-642-22392-1&partnerID=40&md5=791eb1cea90e3aedd171bff4d97a4870;Privacy and data protection in police work and law enforcement cooperation has always been a challenging issue. Current developments in EU internal security policy, such as increased information sharing (which includes the exchange of personal data between European law enforcement agencies and judicial actors in the area of freedom, security and justice (Europol, Eurojust, Frontex and OLAF)) and the access of EU agencies, in particular Europol and Eurojust, to data stored in European information systems such as the SIS (II), VIS, CIS or Eurodac raise interesting questions regarding the balance between the rights of individuals and security interests. This book deals with the complexity of the relations between these actors and offers for the first time a comprehensive overview of the structures for information exchange in the area of freedom, security and justice and their compliance with data protection rules in this field. © Springer-Verlag Berlin Heidelberg 2012. All rights are reserved.;;;Springer-Verlag Berlin Heidelberg;English;Info. Shar. and Data Protect. in the Area of Freedom, Secty. and Justice: Towards Harmonised Data Protect. Principles for Info. Exch. at EU-Level;Book
